para_id,content,category,publish_date_ap
art_3226621_para_1,"Quidel Corp., San Diego, California (SPE2DE-23-D-0009); Access Bio Inc., Somerset, New Jersey (SPE2DE-23-D-0011); iHealth Labs, Sunnydale, California (SPE2DE-23-D-0012); and Orasure Technologies, Bethlehem, Pennsylvania (SPE2DE-23-D-0010), are sharing a maximum $803,000,000 firm-fixed-price, indefinite-delivery/indefinite-quantity contract under solicitation SPE2DE-22-R-0013 for the procurement of over-the-counter rapid antigen COVID-19 test kits. This was a competitive acquisition with 13 responses received. These are one-year contracts with no option periods. The performance completion date is Nov. 21, 2023. Using customer is Department of Health and Human Services. Type of appropriation is fiscal 2023 defense working capital funds, using funds that were allocated to the Department of Health and Human Services in September 2022. The contracting activity is the Defense Logistics Agency Troop Support, Philadelphia, Pennsylvania.",DEFENSE LOGISTICS AGENCY,"Nov. 22, 2022"
art_3226621_para_2,"Change Healthcare Technologies LLC, Alpharetta, Georgia, has been awarded a maximum $328,279,472 modification (P00033) exercising the five-year option period of a five-year base contract (SPE2D1-18-D-0006) with one five-year option period for digital imaging network-picture archive communication systems, components, training, maintenance service and incidental services. This is a fixed-price with economic-price-adjustment, indefinite-delivery/indefinite-quantity contract. The ordering period end date is Dec. 14, 2027. Using customers are Army, Navy, Air Force, Marine Corps and federal civilian agencies. Type of appropriation is fiscal 2023 through 2028 defense working capital funds. The contracting activity is the Defense Logistics Agency Troop Support, Philadelphia, Pennsylvania.",DEFENSE LOGISTICS AGENCY,"Nov. 22, 2022"
art_3226621_para_3,"Creighton AB Inc., Reidsville, North Carolina, has been awarded a maximum $8,102,438 modification (P00006) exercising the third one-year option period of a one-year base contract (SPE1C1-20-D-1213) with four one-year option periods for broadfall dress trousers. This is a firm-fixed-price, indefinite-delivery/indefinite-quantity contract. Location of performance is New York, with a Nov. 24, 2023, ordering period end date. Using military service is Navy. Type of appropriation is fiscal 2023 through 2024 defense working capital funds. The contracting activity is the Defense Logistics Agency Troop Support, Philadelphia, Pennsylvania. ",DEFENSE LOGISTICS AGENCY,"Nov. 22, 2022"
art_3226621_para_4,"IMT Defense Corporation,* Westerville, Ohio, was awarded a $391,015,040 firm-fixed-price contract to increase the industrial base to manufacture, assemble, inspect, package and deliver 155 mm artillery M795 projectile metal parts assemblies. Bids were solicited via the internet with one received. Work locations and funding will be determined with each order, with an estimated completion date of Nov. 22, 2027. U.S. Army Corps of Engineers, Newark, New Jersey, is the contracting activity (W15QKN-23-D-0009). ",ARMY,"Nov. 22, 2022"
art_3226621_para_5,"SilverStar Consulting Inc.,* Falls Church, Virginia, was awarded a $38,306,813 firm-fixed-price contract for Army Transition Assistance Program services. Bids were solicited via the internet with 24 received. Work will be performed at Fort Knox, Kentucky, with an estimated completion date of Nov. 3, 2027. Fiscal 2023 operation and maintenance, Army funds in the amount of $1,000,000 were obligated at the time of the award. U.S. Army Field Directorate Office, Fort Knox, Kentucky, is the contracting activity (W9124D-23-C-0003). ",ARMY,"Nov. 22, 2022"
art_3226621_para_6,"Peska Construction Inc., Sioux Falls, South Dakota, was awarded a $10,967,000 firm-fixed-price contract to construct a training center. Bids were solicited via the internet with five received. Work will be performed in Sioux Falls, South Dakota, with an estimated completion date of July 23, 2024. Fiscal 20XX TYPE funds in the amount of $10,967,000 were obligated at the time of the award. U.S. Property and Fiscal Office, South Dakota, is the contracting activity (W50S96-23-C-0001). ",ARMY,"Nov. 22, 2022"
art_3226621_para_7,"HZA Engineering LLC,* Anchorage, Alaska (W911KB-23-D-0009); Design Alaska Inc.,* Fairbanks, Alaska (W911KB-23-D-0010); and CRW Engineering Group LLC,* Anchorage, Alaska (W911KB-23-D-0011), will compete for each order of the $9,750,000 firm-fixed-price contract for architect-engineer services. Bids were solicited via the internet with six received. Work locations and funding will be determined with each order, with an estimated completion date of Nov. 21, 2027. U.S. Army Corps of Engineers, Anchorage, Alaska, is the contracting activity.",ARMY,"Nov. 22, 2022"
art_3226621_para_8,"Accord Federal Services,* Knoxville, Tennessee, was awarded an $8,729,277 cost-plus-fixed-fee contract for logistics support services. Bids were solicited via the internet with 14 received. Work will be performed at Fort Rucker, Alabama, with an estimated completion date of Nov. 30, 2023. Fiscal 2023 operation and maintenance, defense-wide funds in the amount of $91,007 were obligated at the time of the award. U.S. Army Contracting Command, Rock Island Arsenal, Illinois, is the contracting activity (W519TC-23-F-0022). ",ARMY,"Nov. 22, 2022"
art_3226621_para_9,"Viasat, Inc., Carlsbad, California, is being awarded a Single Award Indefinite Delivery Indefinite Quantity (IDIQ) Firm Fixed Price (FFP) contract (H92401-23-D-0001) with five one-year ordering periods, for the PEO-Command, Control, Communications and Computers (C4) Tactical Communications Systems in support of United States Special Operations Command. The contract has a $325,000,000 maximum ceiling with a $5,000 minimum guarantee. Fiscal Year (FY) 23 funds in the amount of $5,000 are being obligated at the time of award. The PEO-C4 Tactical Communications Systems contract procures Primary Mission Equipment (PME), ancillary equipment, interoperable accessories, support services, repairs, and training in support of PEO-C4 Radio Integration Systems (RIS), Standard CMMI Appraisal Method for Process Improvement (SCAMPI), Airborne, Intelligence, Surveillance and Reconnaissance Transport (AISR-T), and Satellite Deployable Nodes (SDN) Programs of Record (POR). The work will be performed primarily at the contractor’s facility in Carlsbad, California and is expected to be completed by November 20, 2027. This contract was awarded through Other than Full and Open Competition under 10 U.S.C 2304(c)(1). U.S. Special Operations Command headquarters, Tampa, Florida, is the contracting activity.",SPECIAL OPERATIONS COMMAND,"Nov. 22, 2022"
art_3226621_para_10,"Sodexo Management Inc., Gaithersburg, Maryland, is awarded a $122,914,575 firm-fixed-price modification (P00061) to exercise Option Year Four under previously awarded contract M95494-18-C-0016 for the management and operation of West Coast mess halls in support of the U.S. Marine Corps Regional Garrison Food Services Program. Work will be performed in Camp Pendleton, California; San Diego, California; Twentynine Palms, California; Miramar, California; Yuma, Arizona; and Bridgeport, California. Fiscal 2023 military personnel (Marine Corps) funding in the amount of $30,450,458 will be obligated at the time of award and will expire at the end of the current fiscal year. The Marine Corps Installations Command, Arlington, Virginia, is the contracting activity (M95494-18-C-0016). ",NAVY,"Nov. 22, 2022"
art_3226621_para_11,"Sodexo Management Inc., Gaithersburg, Maryland, is awarded an $119,557,517 firm-fixed-price modification (P00063) to exercise Option Year Four under previously awarded contract M95494-18-C-0018 for the management and operation of east coast mess halls in support of the U.S. Marine Corps Regional Garrison Food Services Program. Work will be performed in Washington, District of Columbia; Indian Head, Maryland; Quantico, Virginia; Camp Lejeune, North Carolina; Cherry Point, North Carolina; Bogue, North Carolina; New River, North Carolina; Beaufort, South Carolina; and Parris Island, South Carolina. Fiscal 2023 military personnel (Marine Corps) funding in the amount of $29,736,750 will be obligated at the time of award and will expire at the end of the current fiscal year. The Marine Corps Installations Command, Arlington, Virginia, is the contracting activity (M95494-18-C-0018). ",NAVY,"Nov. 22, 2022"
art_3226621_para_12,"Lockheed Martin Corp., Lockheed Martin Aeronautics Co., Fort Worth, Texas, is awarded a $47,345,839 firm-fixed-price modification (P00015) to a previously awarded, indefinite-delivery/indefinite-quantity contract (N0001919D0015). This modification exercises an option to procure Ancillary Mission Equipment in support of F-35 Joint Strike Fighter Lot 17 production aircraft for the Air Force, Marine Corps, Navy, Foreign Military Sales customers, and non-U.S. Department of Defense participants. Work will be performed in Fort Worth, Texas, and is expected to be completed in December 2025. No funds are being obligated at time of award and funds will be obligated on individual orders as they are issued. The Naval Air Systems Command, Patuxent River, Maryland, is the contracting activity.",NAVY,"Nov. 22, 2022"
art_3226621_para_13,"Lockheed Martin Corp., Lockheed Martin Aeronautics Co., Fort Worth, Texas, is awarded a $24,980,078 cost-plus-fixed-fee order (N0001923F0039) against a previously issued basic ordering agreement (N0001919G0008). This order provides Diminishing Manufacturing Sources (DMS) management, to include review and identification of actual and potential DMS issues of components, parts, materials, assemblies, subassemblies, and software items, and recommend solutions to mitigate issues in support of the F-35 Joint Strike Fighter aircraft. Work will be performed in Fort Worth, Texas, and is expected to be completed in July 2023. Fiscal 2022 aircraft procurement (Air Force) funds in the amount of $4,602,729; fiscal 2022 aircraft procurement (Navy) funds in the amount of $4,602,729; fiscal 2022 operations and maintenance (Air Force) funds in the amount of $937,756; fiscal 2022 operations and maintenance (Navy) funds in the amount of $468,878; fiscal 2022 operations and maintenance (Marine Corps) funds in the amount of $468,878; fiscal 2021 aircraft procurement (Air Force) funds in the amount of $4,602,729; fiscal 2021 aircraft procurement (Navy) funds in the amount of $4,602,728; and non-Deportment of Defense participant funds in the amount of $4,693,651 will be obligated on this award, of which $1,875,512 will expire at the end of the current fiscal year. The Naval Air Systems Command, Patuxent River, Maryland, is the contracting activity.",NAVY,"Nov. 22, 2022"
art_3226621_para_14,"Vigor Marine LLC., Portland, Oregon, is awarded a $20,187,816 firm-fixed-price contract (N3220523C4142) for a 90-calendar day shipyard availability for a mid-term availability of Military Sealift Command’s hospital ship USNS Mercy (T-AH 19). This contract includes a base period and options, which if exercised, would bring the cumulative value of this contract to $20,915,538. Work will be performed in Portland, Oregon, beginning Jan. 16, 2023, and is expected to be completed by April 15, 2023. Working capital (Navy) funds in the amount of $20,187,816 are obligated for fiscal 2023 and will expire at the end of the current fiscal year. This contract was competitively procured with proposals solicited via the System for Award Management website and one offer was received. The Navy’s Military Sealift Command, Norfolk, Virginia, is the contracting activity (N3220523C4142).",NAVY,"Nov. 22, 2022"
art_3226621_para_15,"BAE Systems San Diego Ship Repair Inc., San Diego, California, is awarded a $13,926,928 cost-plus-award-fee contract for the accomplishment of post shakedown availability (PSA) for USS Lenah Sutcliffe Higbee (DDG 123), with options for the accomplishment of PSAs for USS Jack H. Lucas (DDG 125) and USS Louis H. Wilson Jr. (DDG 126). This contract includes options which, if exercised, would bring the cumulative value of this contract to $46,296,820. Work will be performed in San Diego, California, and is expected to be completed by May 2024. Fiscal 2023 shipbuilding and conversion (Navy) funds in the amount of $13,043,577 will be obligated at time of award and will not expire at the end of the current fiscal year. This contract was competitively procured via the System for Award Management website, with one offer received. The Naval Sea Systems Command, Washington, D.C., is the contracting activity (N00024-23-C-2316).",NAVY,"Nov. 22, 2022"
art_3226621_para_16,"Mare Island Dry Dock, Vallejo, California, is awarded an $11,630,023 firm-fixed-price contract (N3220523C4145) for a 61-calendar day shipyard availability for the mid-term availability for Military Sealift Command’s rescue and salvage ship USNS Grasp (T-ARS 51). This contract includes options, which, if exercised, would bring the cumulative value of this contract to $11,910,228. Work will be performed in Vallejo, California, and is expected to be completed by April 30, 2023. Working capital (Navy) funds in the amount of $11,630,023 are obligated for fiscal 2023, and will expire at the end of the fiscal year. This contract was competitively procured with proposals solicited via the System for Award Management website and two offers were received. The Navy’s Military Sealift Command, Norfolk, Virginia, is the contracting activity (N3220523C4145).",NAVY,"Nov. 22, 2022"
art_3226621_para_17,"Pacific Federal Management Inc.,* Tumon, Guam, is awarded a $10,866,804 firm-fixed-price, indefinite-delivery/indefinite-quantity modification to previously awarded contract N40192-20-D-9000 to exercise Option Period Three for base operations support services at Naval Base Guam and Andersen Air Force Base, Guam. This award brings the total cumulative value of the contract to $41,310,452. Work will be performed within the Naval Facilities Engineering Systems Command Marianas area of responsibility, including, but not limited to, Naval Base Guam (70%); and Andersen Air Force Base, Guam (30%), and is expected to be completed by November 2023. No funds will be obligated at time of award. The Naval Facilities Engineering Systems Command Marianas, Guam, is the contracting activity.",NAVY,"Nov. 22, 2022"
