para_id,content,category,publish_date_ap,context,questions,answers
art_3226621_para_1,"Quidel Corp., San Diego, California (SPE2DE-23-D-0009); Access Bio Inc., Somerset, New Jersey (SPE2DE-23-D-0011); iHealth Labs, Sunnydale, California (SPE2DE-23-D-0012); and Orasure Technologies, Bethlehem, Pennsylvania (SPE2DE-23-D-0010), are sharing a maximum $803,000,000 firm-fixed-price, indefinite-delivery/indefinite-quantity contract under solicitation SPE2DE-22-R-0013 for the procurement of over-the-counter rapid antigen COVID-19 test kits. This was a competitive acquisition with 13 responses received. These are one-year contracts with no option periods. The performance completion date is Nov. 21, 2023. Using customer is Department of Health and Human Services. Type of appropriation is fiscal 2023 defense working capital funds, using funds that were allocated to the Department of Health and Human Services in September 2022. The contracting activity is the Defense Logistics Agency Troop Support, Philadelphia, Pennsylvania.",DEFENSE LOGISTICS AGENCY,"Nov. 22, 2022","DEFENSE LOGISTICS AGENCY

Quidel Corp., San Diego, California (SPE2DE-23-D-0009); Access Bio Inc., Somerset, New Jersey (SPE2DE-23-D-0011); iHealth Labs, Sunnydale, California (SPE2DE-23-D-0012); and Orasure Technologies, Bethlehem, Pennsylvania (SPE2DE-23-D-0010), are sharing a maximum $803,000,000 firm-fixed-price, indefinite-delivery/indefinite-quantity contract under solicitation SPE2DE-22-R-0013 for the procurement of over-the-counter rapid antigen COVID-19 test kits. This was a competitive acquisition with 13 responses received. These are one-year contracts with no option periods. The performance completion date is Nov. 21, 2023. Using customer is Department of Health and Human Services. Type of appropriation is fiscal 2023 defense working capital funds, using funds that were allocated to the Department of Health and Human Services in September 2022. The contracting activity is the Defense Logistics Agency Troop Support, Philadelphia, Pennsylvania.","1. What is the name of the company that is sharing the contract?
2. What is the name of the contract?
3. What is the type of appropriation?
4. What is the performance completion date?","1. Quidel Corp., San Diego, California
2. SPE2DE-23-D-0009
3. fiscal 2023 defense working capital funds
4. Nov. 21, 2023"
art_3226621_para_2,"Change Healthcare Technologies LLC, Alpharetta, Georgia, has been awarded a maximum $328,279,472 modification (P00033) exercising the five-year option period of a five-year base contract (SPE2D1-18-D-0006) with one five-year option period for digital imaging network-picture archive communication systems, components, training, maintenance service and incidental services. This is a fixed-price with economic-price-adjustment, indefinite-delivery/indefinite-quantity contract. The ordering period end date is Dec. 14, 2027. Using customers are Army, Navy, Air Force, Marine Corps and federal civilian agencies. Type of appropriation is fiscal 2023 through 2028 defense working capital funds. The contracting activity is the Defense Logistics Agency Troop Support, Philadelphia, Pennsylvania.",DEFENSE LOGISTICS AGENCY,"Nov. 22, 2022","DEFENSE LOGISTICS AGENCY

Change Healthcare Technologies LLC, Alpharetta, Georgia, has been awarded a maximum $328,279,472 modification (P00033) exercising the five-year option period of a five-year base contract (SPE2D1-18-D-0006) with one five-year option period for digital imaging network-picture archive communication systems, components, training, maintenance service and incidental services. This is a fixed-price with economic-price-adjustment, indefinite-delivery/indefinite-quantity contract. The ordering period end date is Dec. 14, 2027. Using customers are Army, Navy, Air Force, Marine Corps and federal civilian agencies. Type of appropriation is fiscal 2023 through 2028 defense working capital funds. The contracting activity is the Defense Logistics Agency Troop Support, Philadelphia, Pennsylvania.","1. What is the name of the company that was awarded the contract?
2. What is the name of the contract?
3. What is the end date of the contract?
4. What type of appropriation is the contract?
5. What is the contracting activity?","1. Change Healthcare Technologies LLC
2. Digital imaging network-picture archive communication systems, components, training, maintenance service and incidental services
3. December 14, 2027
4. Fiscal 2023 through 2028 defense working capital funds
5. Defense Logistics Agency Troop Support"
art_3226621_para_3,"Creighton AB Inc., Reidsville, North Carolina, has been awarded a maximum $8,102,438 modification (P00006) exercising the third one-year option period of a one-year base contract (SPE1C1-20-D-1213) with four one-year option periods for broadfall dress trousers. This is a firm-fixed-price, indefinite-delivery/indefinite-quantity contract. Location of performance is New York, with a Nov. 24, 2023, ordering period end date. Using military service is Navy. Type of appropriation is fiscal 2023 through 2024 defense working capital funds. The contracting activity is the Defense Logistics Agency Troop Support, Philadelphia, Pennsylvania. ",DEFENSE LOGISTICS AGENCY,"Nov. 22, 2022","DEFENSE LOGISTICS AGENCY

Creighton AB Inc., Reidsville, North Carolina, has been awarded a maximum $8,102,438 modification (P00006) exercising the third one-year option period of a one-year base contract (SPE1C1-20-D-1213) with four one-year option periods for broadfall dress trousers. This is a firm-fixed-price, indefinite-delivery/indefinite-quantity contract. Location of performance is New York, with a Nov. 24, 2023, ordering period end date. Using military service is Navy. Type of appropriation is fiscal 2023 through 2024 defense working capital funds. The contracting activity is the Defense Logistics Agency Troop Support, Philadelphia, Pennsylvania. ","1. What is the name of the company that was awarded the contract?
2. What is the name of the contract?
3. What is the location of the performance?
4. What is the type of appropriation?
5. What is the ordering period end date?","1. Creighton AB Inc.
2. SPE1C1-20-D-1213
3. New York
4. fiscal 2023 through 2024 defense working capital funds
5. Nov. 24, 2023"
art_3226621_para_4,"IMT Defense Corporation,* Westerville, Ohio, was awarded a $391,015,040 firm-fixed-price contract to increase the industrial base to manufacture, assemble, inspect, package and deliver 155 mm artillery M795 projectile metal parts assemblies. Bids were solicited via the internet with one received. Work locations and funding will be determined with each order, with an estimated completion date of Nov. 22, 2027. U.S. Army Corps of Engineers, Newark, New Jersey, is the contracting activity (W15QKN-23-D-0009). ",ARMY,"Nov. 22, 2022","ARMY

IMT Defense Corporation,* Westerville, Ohio, was awarded a $391,015,040 firm-fixed-price contract to increase the industrial base to manufacture, assemble, inspect, package and deliver 155 mm artillery M795 projectile metal parts assemblies. Bids were solicited via the internet with one received. Work locations and funding will be determined with each order, with an estimated completion date of Nov. 22, 2027. U.S. Army Corps of Engineers, Newark, New Jersey, is the contracting activity (W15QKN-23-D-0009). ","1. What is the name of the company that was awarded the contract?
2. What is the name of the contract?
3. What is the estimated completion date of the contract?","1. IMT Defense Corporation
2. The contract is to increase the industrial base to manufacture, assemble, inspect, package and deliver 155 mm artillery M795 projectile metal parts assemblies.
3. The estimated completion date of the contract is Nov. 22, 2027."
art_3226621_para_5,"SilverStar Consulting Inc.,* Falls Church, Virginia, was awarded a $38,306,813 firm-fixed-price contract for Army Transition Assistance Program services. Bids were solicited via the internet with 24 received. Work will be performed at Fort Knox, Kentucky, with an estimated completion date of Nov. 3, 2027. Fiscal 2023 operation and maintenance, Army funds in the amount of $1,000,000 were obligated at the time of the award. U.S. Army Field Directorate Office, Fort Knox, Kentucky, is the contracting activity (W9124D-23-C-0003). ",ARMY,"Nov. 22, 2022","ARMY

SilverStar Consulting Inc.,* Falls Church, Virginia, was awarded a $38,306,813 firm-fixed-price contract for Army Transition Assistance Program services. Bids were solicited via the internet with 24 received. Work will be performed at Fort Knox, Kentucky, with an estimated completion date of Nov. 3, 2027. Fiscal 2023 operation and maintenance, Army funds in the amount of $1,000,000 were obligated at the time of the award. U.S. Army Field Directorate Office, Fort Knox, Kentucky, is the contracting activity (W9124D-23-C-0003). ","1. What is the name of the company that was awarded the contract?
2. What is the name of the contract?
3. What is the estimated completion date of the contract?
4. What is the name of the Army Field Directorate Office?","1. SilverStar Consulting Inc.
2. Army Transition Assistance Program services
3. Nov. 3, 2027
4. U.S. Army Field Directorate Office"
art_3226621_para_6,"Peska Construction Inc., Sioux Falls, South Dakota, was awarded a $10,967,000 firm-fixed-price contract to construct a training center. Bids were solicited via the internet with five received. Work will be performed in Sioux Falls, South Dakota, with an estimated completion date of July 23, 2024. Fiscal 20XX TYPE funds in the amount of $10,967,000 were obligated at the time of the award. U.S. Property and Fiscal Office, South Dakota, is the contracting activity (W50S96-23-C-0001). ",ARMY,"Nov. 22, 2022","ARMY

Peska Construction Inc., Sioux Falls, South Dakota, was awarded a $10,967,000 firm-fixed-price contract to construct a training center. Bids were solicited via the internet with five received. Work will be performed in Sioux Falls, South Dakota, with an estimated completion date of July 23, 2024. Fiscal 20XX TYPE funds in the amount of $10,967,000 were obligated at the time of the award. U.S. Property and Fiscal Office, South Dakota, is the contracting activity (W50S96-23-C-0001). ","1. What is the name of the company that was awarded the contract?
2. What is the estimated completion date of the contract?
3. What is the estimated cost of the contract?
4. What type of funds were obligated at the time of the award?","1. Peska Construction Inc.
2. July 23, 2024
3. $10,967,000
4. Fiscal 20XX TYPE funds"
art_3226621_para_7,"HZA Engineering LLC,* Anchorage, Alaska (W911KB-23-D-0009); Design Alaska Inc.,* Fairbanks, Alaska (W911KB-23-D-0010); and CRW Engineering Group LLC,* Anchorage, Alaska (W911KB-23-D-0011), will compete for each order of the $9,750,000 firm-fixed-price contract for architect-engineer services. Bids were solicited via the internet with six received. Work locations and funding will be determined with each order, with an estimated completion date of Nov. 21, 2027. U.S. Army Corps of Engineers, Anchorage, Alaska, is the contracting activity.",ARMY,"Nov. 22, 2022","ARMY

HZA Engineering LLC,* Anchorage, Alaska (W911KB-23-D-0009); Design Alaska Inc.,* Fairbanks, Alaska (W911KB-23-D-0010); and CRW Engineering Group LLC,* Anchorage, Alaska (W911KB-23-D-0011), will compete for each order of the $9,750,000 firm-fixed-price contract for architect-engineer services. Bids were solicited via the internet with six received. Work locations and funding will be determined with each order, with an estimated completion date of Nov. 21, 2027. U.S. Army Corps of Engineers, Anchorage, Alaska, is the contracting activity.","1. What is the estimated completion date of the contract?
2. What is the estimated value of the contract?
3. What is the estimated value of the contract?","1. The estimated completion date of the contract is Nov. 21, 2027.
2. The estimated value of the contract is $9,750,000.
3. The estimated value of the contract is $9,750,000."
art_3226621_para_8,"Accord Federal Services,* Knoxville, Tennessee, was awarded an $8,729,277 cost-plus-fixed-fee contract for logistics support services. Bids were solicited via the internet with 14 received. Work will be performed at Fort Rucker, Alabama, with an estimated completion date of Nov. 30, 2023. Fiscal 2023 operation and maintenance, defense-wide funds in the amount of $91,007 were obligated at the time of the award. U.S. Army Contracting Command, Rock Island Arsenal, Illinois, is the contracting activity (W519TC-23-F-0022). ",ARMY,"Nov. 22, 2022","ARMY

Accord Federal Services,* Knoxville, Tennessee, was awarded an $8,729,277 cost-plus-fixed-fee contract for logistics support services. Bids were solicited via the internet with 14 received. Work will be performed at Fort Rucker, Alabama, with an estimated completion date of Nov. 30, 2023. Fiscal 2023 operation and maintenance, defense-wide funds in the amount of $91,007 were obligated at the time of the award. U.S. Army Contracting Command, Rock Island Arsenal, Illinois, is the contracting activity (W519TC-23-F-0022). ","1. What is the name of the company that was awarded the contract?
2. What is the estimated completion date of the contract?
3. What is the estimated value of the contract?","1. Accord Federal Services
2. Nov. 30, 2023
3. $8,729,277"
art_3226621_para_9,"Viasat, Inc., Carlsbad, California, is being awarded a Single Award Indefinite Delivery Indefinite Quantity (IDIQ) Firm Fixed Price (FFP) contract (H92401-23-D-0001) with five one-year ordering periods, for the PEO-Command, Control, Communications and Computers (C4) Tactical Communications Systems in support of United States Special Operations Command. The contract has a $325,000,000 maximum ceiling with a $5,000 minimum guarantee. Fiscal Year (FY) 23 funds in the amount of $5,000 are being obligated at the time of award. The PEO-C4 Tactical Communications Systems contract procures Primary Mission Equipment (PME), ancillary equipment, interoperable accessories, support services, repairs, and training in support of PEO-C4 Radio Integration Systems (RIS), Standard CMMI Appraisal Method for Process Improvement (SCAMPI), Airborne, Intelligence, Surveillance and Reconnaissance Transport (AISR-T), and Satellite Deployable Nodes (SDN) Programs of Record (POR). The work will be performed primarily at the contractor’s facility in Carlsbad, California and is expected to be completed by November 20, 2027. This contract was awarded through Other than Full and Open Competition under 10 U.S.C 2304(c)(1). U.S. Special Operations Command headquarters, Tampa, Florida, is the contracting activity.",SPECIAL OPERATIONS COMMAND,"Nov. 22, 2022","SPECIAL OPERATIONS COMMAND

Viasat, Inc., Carlsbad, California, is being awarded a Single Award Indefinite Delivery Indefinite Quantity (IDIQ) Firm Fixed Price (FFP) contract (H92401-23-D-0001) with five one-year ordering periods, for the PEO-Command, Control, Communications and Computers (C4) Tactical Communications Systems in support of United States Special Operations Command. The contract has a $325,000,000 maximum ceiling with a $5,000 minimum guarantee. Fiscal Year (FY) 23 funds in the amount of $5,000 are being obligated at the time of award. The PEO-C4 Tactical Communications Systems contract procures Primary Mission Equipment (PME), ancillary equipment, interoperable accessories, support services, repairs, and training in support of PEO-C4 Radio Integration Systems (RIS), Standard CMMI Appraisal Method for Process Improvement (SCAMPI), Airborne, Intelligence, Surveillance and Reconnaissance Transport (AISR-T), and Satellite Deployable Nodes (SDN) Programs of Record (POR). The work will be performed primarily at the contractor’s facility in Carlsbad, California and is expected to be completed by November 20, 2027. This contract was awarded through Other than Full and Open Competition under 10 U.S.C 2304(c)(1). U.S. Special Operations Command headquarters, Tampa, Florida, is the contracting activity.","1. What is the maximum ceiling for this contract?
2. What is the minimum guarantee for this contract?
3. What is the expected completion date for this contract?","1. The maximum ceiling for this contract is $325,000,000.
2. The minimum guarantee for this contract is $5,000.
3. The expected completion date for this contract is November 20, 2027."
art_3226621_para_10,"Sodexo Management Inc., Gaithersburg, Maryland, is awarded a $122,914,575 firm-fixed-price modification (P00061) to exercise Option Year Four under previously awarded contract M95494-18-C-0016 for the management and operation of West Coast mess halls in support of the U.S. Marine Corps Regional Garrison Food Services Program. Work will be performed in Camp Pendleton, California; San Diego, California; Twentynine Palms, California; Miramar, California; Yuma, Arizona; and Bridgeport, California. Fiscal 2023 military personnel (Marine Corps) funding in the amount of $30,450,458 will be obligated at the time of award and will expire at the end of the current fiscal year. The Marine Corps Installations Command, Arlington, Virginia, is the contracting activity (M95494-18-C-0016). ",NAVY,"Nov. 22, 2022","NAVY

Sodexo Management Inc., Gaithersburg, Maryland, is awarded a $122,914,575 firm-fixed-price modification (P00061) to exercise Option Year Four under previously awarded contract M95494-18-C-0016 for the management and operation of West Coast mess halls in support of the U.S. Marine Corps Regional Garrison Food Services Program. Work will be performed in Camp Pendleton, California; San Diego, California; Twentynine Palms, California; Miramar, California; Yuma, Arizona; and Bridgeport, California. Fiscal 2023 military personnel (Marine Corps) funding in the amount of $30,450,458 will be obligated at the time of award and will expire at the end of the current fiscal year. The Marine Corps Installations Command, Arlington, Virginia, is the contracting activity (M95494-18-C-0016). ","1. What is the name of the company that is awarded the contract?
2. What is the name of the contract?
3. What is the location of the work?
4. What is the amount of military personnel funding that will be obligated at the time of award?","1. Sodexo Management Inc.
2. M95494-18-C-0016
3. Camp Pendleton, California; San Diego, California; Twentynine Palms, California; Miramar, California; Yuma, Arizona; and Bridgeport, California.
4. $30,450,458"
